"filename", "language", "JSON", "CSS", "JavaScript JSX", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\.eslintrc.cjs", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\package-lock.json", "JSON", 4658, 0, 0, 0, 0, 0, 0, 1, 4659
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\App.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 7, 31
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\Styles\Details.css", "CSS", 0, 62, 0, 0, 0, 0, 2, 12, 76
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\Styles\Home.css", "CSS", 0, 79, 0, 0, 0, 0, 9, 22, 110
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\Styles\Intro.css", "CSS", 0, 48, 0, 0, 0, 0, 2, 9, 59
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\Styles\Styles.css", "CSS", 0, 95, 0, 0, 0, 0, 4, 17, 116
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\components\Contact\index.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\components\Footer\index.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 6, 27
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\components\Header\index.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 1, 3, 18
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\components\Login\index.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 5, 18, 101
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\components\MovieList\index.jsx", "JavaScript JSX", 0, 0, 70, 0, 0, 0, 1, 10, 81
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\components\Signup\index.jsx", "JavaScript JSX", 0, 0, 87, 0, 0, 0, 5, 15, 107
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\main.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 7, 6, 54
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\pages\AuthPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 3, 14
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\pages\Error.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 0, 2, 7, 40
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\pages\Intro.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 0, 2, 9, 42
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\pages\MovieDetails.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 0, 2, 8, 69
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\pages\VideoPlayer.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 2, 12, 55
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\utils\auth.js", "JavaScript", 0, 0, 0, 30, 0, 0, 2, 8, 40
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\utils\mutations.js", "JavaScript", 0, 0, 0, 88, 0, 0, 3, 13, 104
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\src\utils\queries.js", "JavaScript", 0, 0, 0, 58, 0, 0, 0, 5, 63
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\client\vite.config.js", "JavaScript", 0, 0, 0, 16, 0, 0, 2, 2, 20
"Total", "-", 4691, 284, 524, 208, 1, 13, 62, 203, 5986